"“ерминал";"ƒень недели";"ƒата";"¬алюта";"1€ кассета: номинал";"1€ кассета: количество";"1€ кассета: статус";"2€ кассета: номинал";"2€ кассета: количество";"2€ кассета: статус";"3€ кассета: номинал";"3€ кассета: количество";"3€ кассета: статус";"4€ кассета: номинал";"4€ кассета: количество";"4€ кассета: статус";"кол-во банкнот в сбросовой кассете";"сумма в банкомате на начало суток";"сумма выданых наличных за сутки"
"000002";"1";"19.01.2015";"BYR";"50000";"1284";"1";"100000";"1015";"1";"200000";"661";"1";"0";"0";"0";"33";"297900000";"105950000"
"000002";"1";"19.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"33";"0";"0"
"000002";"2";"20.01.2015";"BYR";"50000";"1065";"1";"100000";"733";"1";"200000";"327";"1";"0";"0";"0";"33";"191950000";"8800000"
"000002";"2";"20.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"33";"0";"0"
"000002";"3";"21.01.2015";"BYR";"50000";"1049";"1";"100000";"715";"1";"200000";"296";"1";"0";"0";"0";"47";"183150000";"18100000"
"000002";"3";"21.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"47";"0";"0"
"000002";"4";"22.01.2015";"BYR";"50000";"2349";"1";"100000";"2332";"1";"200000";"2311";"1";"0";"0";"0";"4";"812850000";"84450000"
"000002";"4";"22.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
"000002";"5";"23.01.2015";"BYR";"50000";"2210";"1";"100000";"2145";"1";"200000";"2017";"1";"0";"0";"0";"4";"728400000";"129250000"
"000002";"5";"23.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
"000002";"6";"24.01.2015";"BYR";"50000";"1917";"1";"100000";"1813";"1";"200000";"1610";"1";"0";"0";"0";"4";"599150000";"123350000"
"000002";"6";"24.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
"000002";"7";"25.01.2015";"BYR";"50000";"1646";"1";"100000";"1501";"1";"200000";"1217";"1";"0";"0";"0";"4";"475800000";"47550000"
"000002";"7";"25.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
"000002";"1";"26.01.2015";"BYR";"50000";"1547";"1";"100000";"1373";"1";"200000";"1068";"1";"0";"0";"0";"4";"428250000";"57550000"
"000002";"1";"26.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
"000002";"2";"27.01.2015";"BYR";"50000";"1293";"1";"100000";"1041";"1";"200000";"680";"1";"0";"0";"0";"4";"304750000";"169750000"
"000002";"2";"27.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
"000002";"3";"28.01.2015";"BYR";"50000";"974";"1";"100000";"637";"1";"200000";"113";"1";"0";"0";"0";"4";"135000000";"107650000"
"000002";"3";"28.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"4";"0";"0"
"000002";"4";"29.01.2015";"BYR";"50000";"2300";"1";"100000";"2267";"1";"200000";"2203";"1";"0";"0";"0";"3";"782300000";"0"
"000002";"4";"29.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"5";"30.01.2015";"BYR";"50000";"2060";"1";"100000";"1974";"1";"200000";"1743";"1";"0";"0";"0";"3";"649000000";"700000"
"000002";"5";"30.01.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"1";"02.02.2015";"BYR";"50000";"1641";"1";"100000";"1437";"1";"200000";"1071";"1";"0";"0";"0";"3";"439950000";"5350000"
"000002";"1";"02.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"2";"03.02.2015";"BYR";"50000";"1556";"1";"100000";"1332";"1";"200000";"936";"1";"0";"0";"0";"3";"398200000";"69350000"
"000002";"2";"03.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"3";"04.02.2015";"BYR";"50000";"1409";"1";"100000";"1144";"1";"200000";"720";"1";"0";"0";"0";"3";"328850000";"115550000"
"000002";"3";"04.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"4";"05.02.2015";"BYR";"50000";"1262";"1";"100000";"922";"1";"200000";"290";"1";"0";"0";"0";"3";"213300000";"19300000"
"000002";"4";"05.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"5";"06.02.2015";"BYR";"50000";"2075";"1";"100000";"2015";"1";"200000";"1898";"1";"0";"0";"0";"3";"684850000";"177150000"
"000002";"5";"06.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"6";"07.02.2015";"BYR";"50000";"1704";"1";"100000";"1557";"1";"200000";"1334";"1";"0";"0";"0";"3";"507700000";"128850000"
"000002";"6";"07.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"7";"08.02.2015";"BYR";"50000";"1431";"1";"100000";"1219";"1";"200000";"927";"1";"0";"0";"0";"3";"378850000";"0"
"000002";"7";"08.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"1";"09.02.2015";"BYR";"50000";"1353";"1";"100000";"1117";"1";"200000";"805";"1";"0";"0";"0";"3";"340350000";"89000000"
"000002";"1";"09.02.2015";"USD";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50";"0";"0";"3";"0";"0"
"000002";"2";"10.02.2015";"BYR";"50000";"1095";"1";"100000";"797";"1";"200000";"419";"1";"0";"0";"0";"3";"218250000";"12300000"
